value,id
PN1-Dhankuta-Chaubise_RM-Ward_2,500
PN1-Dhankuta-Chaubise_RM-Ward_3,500
PN1-Dhankuta-Chaubise_RM-Ward_4,1000
PN1-Dhankuta-Chaubise_RM-Ward_5,5000
PN1-Dhankuta-Chaubise_RM-Ward_6,250
PN1-Dhankuta-Chaubise_RM-Ward_7,250
PN1-Dhankuta-Chaubise_RM-Ward_8,500
PN1-Ilam-Ilam_MCP-Ward_1,500
PN1-Ilam-Ilam_MCP-Ward_2,1000
PN1-Ilam-Ilam_MCP-Ward_3,2000
PN1-Ilam-Ilam_MCP-Ward_4,5000
PN1-Ilam-Ilam_MCP-Ward_5,5000
PN1-Ilam-Ilam_MCP-Ward_6,1000
PN1-Ilam-Ilam_MCP-Ward_7,500
PN1-Ilam-Ilam_MCP-Ward_8,500
PN1-Ilam-Ilam_MCP-Ward_9,250
PN1-Ilam-Ilam_MCP-Ward_10,1000
PN1-Ilam-Ilam_MCP-Ward_11,1000
PN1-Ilam-Ilam_MCP-Ward_12,2000
PN1-Ilam-Deumai_MCP-Ward_1,1000
PN1-Ilam-Deumai_MCP-Ward_2,2000
PN1-Ilam-Deumai_MCP-Ward_3,500
PN1-Ilam-Deumai_MCP-Ward_4,5000
PN1-Ilam-Deumai_MCP-Ward_5,2000
PN1-Ilam-Deumai_MCP-Ward_6,1000
PN1-Ilam-Deumai_MCP-Ward_7,500
PN1-Ilam-Deumai_MCP-Ward_8,1000
PN1-Ilam-Deumai_MCP-Ward_9,500
PN1-Ilam-Mai_MCP-Ward_1,500
PN1-Ilam-Mai_MCP-Ward_2,500
PN1-Ilam-Mai_MCP-Ward_3,5000
PN1-Ilam-Mai_MCP-Ward_4,250
PN1-Ilam-Mai_MCP-Ward_5,5000
PN1-Ilam-Mai_MCP-Ward_6,500
PN1-Ilam-Mai_MCP-Ward_7,250
PN1-Ilam-Mai_MCP-Ward_8,250
PN1-Ilam-Mai_MCP-Ward_9,500
PN1-Ilam-Mai_MCP-Ward_10,5000
PN1-Ilam-Suryodaya_MCP-Ward_1,250
PN1-Ilam-Suryodaya_MCP-Ward_2,5000
PN1-Ilam-Suryodaya_MCP-Ward_3,250
PN1-Ilam-Suryodaya_MCP-Ward_4,5000
PN1-Ilam-Suryodaya_MCP-Ward_5,1000
PN1-Ilam-Suryodaya_MCP-Ward_6,5000
PN1-Ilam-Suryodaya_MCP-Ward_7,250
PN1-Ilam-Suryodaya_MCP-Ward_8,250
PN1-Ilam-Suryodaya_MCP-Ward_9,250
PN1-Ilam-Suryodaya_MCP-Ward_10,250
PN1-Ilam-Suryodaya_MCP-Ward_11,1000
PN1-Ilam-Suryodaya_MCP-Ward_12,1000
PN1-Ilam-Suryodaya_MCP-Ward_13,2000
PN1-Ilam-Suryodaya_MCP-Ward_14,5000
PN1-Ilam-Phakaphokthum_RM-Ward_1,500
PN1-Ilam-Phakaphokthum_RM-Ward_2,5000
PN1-Ilam-Phakaphokthum_RM-Ward_3,250
PN1-Ilam-Phakaphokthum_RM-Ward_4,5000
PN1-Ilam-Phakaphokthum_RM-Ward_5,500
PN1-Ilam-Phakaphokthum_RM-Ward_6,250
PN1-Ilam-Phakaphokthum_RM-Ward_7,5000
PN1-Ilam-Chulachuli_RM-Ward_1,500
PN1-Ilam-Chulachuli_RM-Ward_2,1000
PN1-Ilam-Chulachuli_RM-Ward_3,500
PN1-Ilam-Chulachuli_RM-Ward_4,250
PN1-Ilam-Chulachuli_RM-Ward_5,500
PN1-Ilam-Chulachuli_RM-Ward_6,500
PN1-Ilam-Mai_Jogmai_RM-Ward_1,250
PN1-Ilam-Mai_Jogmai_RM-Ward_2,250
PN1-Ilam-Mai_Jogmai_RM-Ward_3,1000
PN1-Ilam-Mai_Jogmai_RM-Ward_4,250
PN1-Ilam-Mai_Jogmai_RM-Ward_5,2000
PN1-Ilam-Mai_Jogmai_RM-Ward_6,5000
PN1-Ilam-Mangsebung_RM-Ward_1,500
PN1-Ilam-Mangsebung_RM-Ward_2,5000
PN1-Ilam-Mangsebung_RM-Ward_3,1000
PN1-Ilam-Mangsebung_RM-Ward_4,1000
PN1-Ilam-Mangsebung_RM-Ward_5,1000
PN1-Ilam-Mangsebung_RM-Ward_6,1000
PN1-Ilam-Rong_RM-Ward_1,250
PN1-Ilam-Rong_RM-Ward_2,1000
PN1-Ilam-Rong_RM-Ward_3,1000
PN1-Ilam-Rong_RM-Ward_4,2000
PN1-Ilam-Rong_RM-Ward_5,5000
PN1-Ilam-Rong_RM-Ward_6,2000
PN1-Ilam-Sandakpur_RM-Ward_1,2000
PN1-Ilam-Sandakpur_RM-Ward_2,500
PN1-Ilam-Sandakpur_RM-Ward_3,2000
PN1-Ilam-Sandakpur_RM-Ward_4,250
PN1-Ilam-Sandakpur_RM-Ward_5,1000
PN1-Jhapa-MechiNagar_MCP-Ward_1,2000
PN1-Jhapa-MechiNagar_MCP-Ward_2,500
PN1-Jhapa-MechiNagar_MCP-Ward_3,5000
PN1-Jhapa-MechiNagar_MCP-Ward_4,500
PN1-Jhapa-MechiNagar_MCP-Ward_5,5000
PN1-Jhapa-MechiNagar_MCP-Ward_6,250
PN1-Jhapa-MechiNagar_MCP-Ward_7,250
PN1-Jhapa-MechiNagar_MCP-Ward_8,500
PN1-Jhapa-MechiNagar_MCP-Ward_9,5000
PN1-Jhapa-MechiNagar_MCP-Ward_10,2000
PN1-Jhapa-MechiNagar_MCP-Ward_11,2000
PN1-Jhapa-MechiNagar_MCP-Ward_12,2000
PN1-Jhapa-MechiNagar_MCP-Ward_13,1000
PN1-Jhapa-MechiNagar_MCP-Ward_14,5000
PN1-Jhapa-MechiNagar_MCP-Ward_15,2000
PN1-Jhapa-Damak_MCP-Ward_1,5000
PN1-Jhapa-Damak_MCP-Ward_2,250
PN1-Jhapa-Damak_MCP-Ward_3,5000
PN1-Jhapa-Damak_MCP-Ward_4,250
PN1-Jhapa-Damak_MCP-Ward_5,5000
PN1-Jhapa-Damak_MCP-Ward_6,1000
PN1-Jhapa-Damak_MCP-Ward_7,5000
PN1-Jhapa-Damak_MCP-Ward_8,500
PN1-Jhapa-Damak_MCP-Ward_9,250
PN1-Jhapa-Damak_MCP-Ward_10,5000
PN1-Jhapa-Kankai_MCP-Ward_1,250
PN1-Jhapa-Kankai_MCP-Ward_2,500
PN1-Jhapa-Kankai_MCP-Ward_3,500
PN1-Jhapa-Kankai_MCP-Ward_4,250
PN1-Jhapa-Kankai_MCP-Ward_5,500
PN1-Jhapa-Kankai_MCP-Ward_6,5000
PN1-Jhapa-Kankai_MCP-Ward_7,500
PN1-Jhapa-Kankai_MCP-Ward_8,250
PN1-Jhapa-Kankai_MCP-Ward_9,2000
PN1-Jhapa-Bhadrapur_MCP-Ward_1,1000
PN1-Jhapa-Bhadrapur_MCP-Ward_2,2000
PN1-Jhapa-Bhadrapur_MCP-Ward_3,500
PN1-Jhapa-Bhadrapur_MCP-Ward_4,500
PN1-Jhapa-Bhadrapur_MCP-Ward_5,250
PN1-Jhapa-Bhadrapur_MCP-Ward_6,500
PN1-Jhapa-Bhadrapur_MCP-Ward_7,5000
PN1-Jhapa-Bhadrapur_MCP-Ward_8,500
PN1-Jhapa-Bhadrapur_MCP-Ward_9,500
PN1-Jhapa-Bhadrapur_MCP-Ward_10,500
PN1-Jhapa-Arjundhara_MCP-Ward_1,2000
PN1-Jhapa-Arjundhara_MCP-Ward_2,1000
PN1-Jhapa-Arjundhara_MCP-Ward_3,2000
PN1-Jhapa-Arjundhara_MCP-Ward_4,1000
PN1-Jhapa-Arjundhara_MCP-Ward_5,500
PN1-Jhapa-Arjundhara_MCP-Ward_6,2000
PN1-Jhapa-Arjundhara_MCP-Ward_7,250
PN1-Jhapa-Arjundhara_MCP-Ward_8,5000
PN1-Jhapa-Arjundhara_MCP-Ward_9,2000
PN1-Jhapa-Arjundhara_MCP-Ward_10,500
PN1-Jhapa-Arjundhara_MCP-Ward_11,500
PN1-Jhapa-ShivaSataxi_MCP-Ward_1,500
PN1-Jhapa-ShivaSataxi_MCP-Ward_2,5000
PN1-Jhapa-ShivaSataxi_MCP-Ward_3,2000
PN1-Jhapa-ShivaSataxi_MCP-Ward_4,500
PN1-Jhapa-ShivaSataxi_MCP-Ward_5,2000
PN1-Jhapa-ShivaSataxi_MCP-Ward_6,1000
PN1-Jhapa-ShivaSataxi_MCP-Ward_7,5000
PN1-Jhapa-ShivaSataxi_MCP-Ward_8,2000
PN1-Jhapa-ShivaSataxi_MCP-Ward_9,250
PN1-Jhapa-ShivaSataxi_MCP-Ward_10,5000
PN1-Jhapa-ShivaSataxi_MCP-Ward_11,250
PN1-Jhapa-Gauradaha_MCP-Ward_1,500
PN1-Jhapa-Gauradaha_MCP-Ward_2,1000
PN1-Jhapa-Gauradaha_MCP-Ward_3,2000
PN1-Jhapa-Gauradaha_MCP-Ward_4,5000
PN1-Jhapa-Gauradaha_MCP-Ward_5,2000
PN1-Jhapa-Gauradaha_MCP-Ward_6,1000
PN1-Jhapa-Gauradaha_MCP-Ward_7,2000
PN1-Jhapa-Gauradaha_MCP-Ward_8,2000
PN1-Jhapa-Gauradaha_MCP-Ward_9,1000
PN1-Jhapa-Birtamod_MCP-Ward_1,500
PN1-Jhapa-Birtamod_MCP-Ward_2,250
PN1-Jhapa-Birtamod_MCP-Ward_3,500
PN1-Jhapa-Birtamod_MCP-Ward_4,2000
PN1-Jhapa-Birtamod_MCP-Ward_5,250
PN1-Jhapa-Birtamod_MCP-Ward_6,5000
PN1-Jhapa-Birtamod_MCP-Ward_7,250
PN1-Jhapa-Birtamod_MCP-Ward_8,5000
PN1-Jhapa-Birtamod_MCP-Ward_9,5000
PN1-Jhapa-Birtamod_MCP-Ward_10,250
PN1-Jhapa-Kamal_RM-Ward_1,500
PN1-Jhapa-Kamal_RM-Ward_2,2000
PN1-Jhapa-Kamal_RM-Ward_3,5000
PN1-Jhapa-Kamal_RM-Ward_4,5000
PN1-Jhapa-Kamal_RM-Ward_5,1000
PN1-Jhapa-Kamal_RM-Ward_6,2000
PN1-Jhapa-Kamal_RM-Ward_7,2000
PN1-Jhapa-Gaurigunj_RM-Ward_1,2000
PN1-Jhapa-Gaurigunj_RM-Ward_2,250
PN1-Jhapa-Gaurigunj_RM-Ward_3,1000
PN1-Jhapa-Gaurigunj_RM-Ward_4,5000
PN1-Jhapa-Gaurigunj_RM-Ward_5,2000
PN1-Jhapa-Gaurigunj_RM-Ward_6,500
PN1-Jhapa-Barhadashi_RM-Ward_1,1000
PN1-Jhapa-Barhadashi_RM-Ward_2,500
PN1-Jhapa-Barhadashi_RM-Ward_3,250
PN1-Jhapa-Barhadashi_RM-Ward_4,5000
PN1-Jhapa-Barhadashi_RM-Ward_5,2000
PN1-Jhapa-Barhadashi_RM-Ward_6,5000
PN1-Jhapa-Barhadashi_RM-Ward_7,250
PN1-Jhapa-Jhapa_RM-Ward_1,500
PN1-Jhapa-Jhapa_RM-Ward_2,2000
PN1-Jhapa-Jhapa_RM-Ward_3,5000
PN1-Jhapa-Jhapa_RM-Ward_4,1000
PN1-Jhapa-Jhapa_RM-Ward_5,2000
PN1-Jhapa-Jhapa_RM-Ward_6,2000
PN1-Jhapa-Jhapa_RM-Ward_7,250
PN1-Jhapa-BuddaShanti_RM-Ward_1,2000
PN1-Jhapa-BuddaShanti_RM-Ward_2,5000
PN1-Jhapa-BuddaShanti_RM-Ward_3,2000
PN1-Jhapa-BuddaShanti_RM-Ward_4,500
PN1-Jhapa-BuddaShanti_RM-Ward_5,500
PN1-Jhapa-BuddaShanti_RM-Ward_6,5000
PN1-Jhapa-BuddaShanti_RM-Ward_7,500
PN1-Jhapa-Haldibari_RM-Ward_1,1000
PN1-Jhapa-Haldibari_RM-Ward_2,2000
PN1-Jhapa-Haldibari_RM-Ward_3,2000
PN1-Jhapa-Haldibari_RM-Ward_4,5000
PN1-Jhapa-Haldibari_RM-Ward_5,2000
PN1-Jhapa-Kanchankawal_RM-Ward_1,250
PN1-Jhapa-Kanchankawal_RM-Ward_2,5000
PN1-Jhapa-Kanchankawal_RM-Ward_3,5000
PN1-Jhapa-Kanchankawal_RM-Ward_4,2000
PN1-Jhapa-Kanchankawal_RM-Ward_5,250
PN1-Jhapa-Kanchankawal_RM-Ward_6,250
PN1-Jhapa-Kanchankawal_RM-Ward_7,2000
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_1,2000
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_2,500
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_3,5000
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_4,5000
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_5,500
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_6,1000
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_7,500
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_8,1000
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_9,250
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_10,250
PN1-Khotang-Halesi_Tuwachung_MCP-Ward_11,1000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_1,500
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_2,5000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_3,500
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_4,5000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_5,2000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_6,500
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_7,250
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_8,500
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_9,1000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_10,5000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_11,250
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_12,5000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_13,250
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_14,1000
PN1-Khotang-Rupakot_Majhuwagadhi_MCP-Ward_15,500
PN1-Khotang-Aiselukharka_RM-Ward_1,1000
PN1-Khotang-Aiselukharka_RM-Ward_2,5000
PN1-Khotang-Aiselukharka_RM-Ward_3,250
PN1-Khotang-Aiselukharka_RM-Ward_4,1000
PN1-Khotang-Aiselukharka_RM-Ward_5,2000
PN1-Khotang-Aiselukharka_RM-Ward_6,2000
PN1-Khotang-Aiselukharka_RM-Ward_7,500
PN1-Khotang-Lamidanda_RM-Ward_1,500
PN1-Khotang-Lamidanda_RM-Ward_2,500
PN1-Khotang-Lamidanda_RM-Ward_3,1000
PN1-Khotang-Lamidanda_RM-Ward_4,1000
PN1-Khotang-Lamidanda_RM-Ward_5,250
PN1-Khotang-Lamidanda_RM-Ward_6,500
PN1-Khotang-Jantedhunga_RM-Ward_1,5000
PN1-Khotang-Jantedhunga_RM-Ward_2,500
PN1-Khotang-Jantedhunga_RM-Ward_3,5000
PN1-Khotang-Jantedhunga_RM-Ward_4,2000
PN1-Khotang-Jantedhunga_RM-Ward_5,2000
PN1-Khotang-Jantedhunga_RM-Ward_6,5000
PN1-Morang-Biratnagar_SMCP-Ward_1,5000
PN1-Morang-Biratnagar_SMCP-Ward_2,250
PN1-Morang-Biratnagar_SMCP-Ward_3,2000
PN1-Morang-Biratnagar_SMCP-Ward_4,2000
PN1-Morang-Biratnagar_SMCP-Ward_5,5000
PN1-Morang-Biratnagar_SMCP-Ward_6,2000
PN1-Morang-Biratnagar_SMCP-Ward_7,2000
PN1-Morang-Biratnagar_SMCP-Ward_8,500
PN1-Morang-Biratnagar_SMCP-Ward_9,500
PN1-Morang-Biratnagar_SMCP-Ward_10,5000
PN1-Morang-Biratnagar_SMCP-Ward_11,5000
PN1-Morang-Biratnagar_SMCP-Ward_12,1000
PN1-Morang-Biratnagar_SMCP-Ward_13,1000
PN1-Morang-Biratnagar_SMCP-Ward_14,2000
PN1-Morang-Biratnagar_SMCP-Ward_15,2000
PN1-Morang-Biratnagar_SMCP-Ward_16,2000
PN1-Morang-Biratnagar_SMCP-Ward_17,250
PN1-Morang-Biratnagar_SMCP-Ward_18,1000
PN1-Morang-Biratnagar_SMCP-Ward_19,500
PN1-Morang-Belbari_MCP-Ward_1,2000
PN1-Morang-Belbari_MCP-Ward_2,2000
PN1-Morang-Belbari_MCP-Ward_3,2000
PN1-Morang-Belbari_MCP-Ward_4,1000
PN1-Morang-Belbari_MCP-Ward_5,5000
PN1-Morang-Belbari_MCP-Ward_6,1000
PN1-Morang-Belbari_MCP-Ward_7,2000
PN1-Morang-Belbari_MCP-Ward_8,1000
PN1-Morang-Belbari_MCP-Ward_9,5000
PN1-Morang-Belbari_MCP-Ward_10,500
PN1-Morang-Belbari_MCP-Ward_11,2000
PN1-Morang-Letang_MCP-Ward_1,2000
PN1-Morang-Letang_MCP-Ward_2,5000
PN1-Morang-Letang_MCP-Ward_3,250
PN1-Morang-Letang_MCP-Ward_4,250
PN1-Morang-Letang_MCP-Ward_5,2000
PN1-Morang-Letang_MCP-Ward_6,2000
PN1-Morang-Letang_MCP-Ward_7,1000
PN1-Morang-Letang_MCP-Ward_8,5000
PN1-Morang-Letang_MCP-Ward_9,1000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_1,1000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_2,2000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_3,2000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_4,250
PN1-Morang-Pathari-Sanishchare_MCP-Ward_5,1000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_6,1000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_7,1000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_8,1000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_9,5000
PN1-Morang-Pathari-Sanishchare_MCP-Ward_10,1000
PN1-Morang-Rangeli_MCP-Ward_1,250
PN1-Morang-Rangeli_MCP-Ward_2,500
PN1-Morang-Rangeli_MCP-Ward_3,5000
PN1-Morang-Rangeli_MCP-Ward_4,500
PN1-Morang-Rangeli_MCP-Ward_5,2000
PN1-Morang-Rangeli_MCP-Ward_6,5000
PN1-Morang-Rangeli_MCP-Ward_7,1000
PN1-Morang-Rangeli_MCP-Ward_8,5000
PN1-Morang-Rangeli_MCP-Ward_9,500
PN1-Morang-Ratuwamai_MCP-Ward_1,2000
PN1-Morang-Ratuwamai_MCP-Ward_2,250
PN1-Morang-Ratuwamai_MCP-Ward_3,250
PN1-Morang-Ratuwamai_MCP-Ward_4,1000
PN1-Morang-Ratuwamai_MCP-Ward_5,2000
PN1-Morang-Ratuwamai_MCP-Ward_6,250
PN1-Morang-Ratuwamai_MCP-Ward_7,250
PN1-Morang-Ratuwamai_MCP-Ward_8,250
PN1-Morang-Ratuwamai_MCP-Ward_9,5000
PN1-Morang-Ratuwamai_MCP-Ward_10,500
PN1-Morang-Sunbarshi_MCP-Ward_1,500
PN1-Morang-Sunbarshi_MCP-Ward_2,2000
PN1-Morang-Sunbarshi_MCP-Ward_3,5000
PN1-Morang-Sunbarshi_MCP-Ward_4,5000
PN1-Morang-Sunbarshi_MCP-Ward_5,250
PN1-Morang-Sunbarshi_MCP-Ward_6,1000
